"seccion","tipo","nombre_municipio","cabecera_distrital_local"
"89","U","AGUASCALIENTES","AGUASCALIENTES"
"90","U","AGUASCALIENTES","AGUASCALIENTES"
"91","U","AGUASCALIENTES","AGUASCALIENTES"
"92","U","AGUASCALIENTES","AGUASCALIENTES"
"93","U","AGUASCALIENTES","AGUASCALIENTES"
"94","U","AGUASCALIENTES","AGUASCALIENTES"
"95","U","AGUASCALIENTES","AGUASCALIENTES"
"96","U","AGUASCALIENTES","AGUASCALIENTES"
"97","U","AGUASCALIENTES","AGUASCALIENTES"
"99","U","AGUASCALIENTES","AGUASCALIENTES"
"100","U","AGUASCALIENTES","AGUASCALIENTES"
"101","U","AGUASCALIENTES","AGUASCALIENTES"
"102","U","AGUASCALIENTES","AGUASCALIENTES"
"103","U","AGUASCALIENTES","AGUASCALIENTES"
"104","U","AGUASCALIENTES","AGUASCALIENTES"
"105","U","AGUASCALIENTES","AGUASCALIENTES"
"106","U","AGUASCALIENTES","AGUASCALIENTES"
"107","U","AGUASCALIENTES","AGUASCALIENTES"
"108","U","AGUASCALIENTES","AGUASCALIENTES"
"109","U","AGUASCALIENTES","AGUASCALIENTES"
"110","U","AGUASCALIENTES","AGUASCALIENTES"
"111","U","AGUASCALIENTES","AGUASCALIENTES"
"112","U","AGUASCALIENTES","AGUASCALIENTES"
"113","U","AGUASCALIENTES","AGUASCALIENTES"
"114","U","AGUASCALIENTES","AGUASCALIENTES"
